route,family,inbound,outgoing,depth,pagerank,title,h1,canonical
"/25000-after-tax-monthly-california.html","state monthly salary","11","18","3","0.000016324318707377978","$25,000 After Tax Monthly California","$25,000 After Tax Monthly in California","https://aftertaxtool.com/25000-after-tax-monthly-california.html"
"/77000-after-tax-weekly-florida.html","state weekly salary","14","24","3","0.0000163238273734963","$77,000 After Tax Weekly Florida","$77,000 After Tax Weekly in Florida","https://aftertaxtool.com/77000-after-tax-weekly-florida.html"
"/61000-after-tax-monthly-illinois.html","state monthly salary","13","23","4","0.000016322712757664688","$61,000 After Tax Monthly Illinois","$61,000 After Tax Monthly in Illinois","https://aftertaxtool.com/61000-after-tax-monthly-illinois.html"
"/108000-salary-after-tax-florida.html","state annual salary","12","15","3","0.000016320133884751897","$108,000 Salary After Tax Florida","$108,000 Salary After Tax Florida","https://aftertaxtool.com/108000-salary-after-tax-florida.html"
"/282000-salary-after-tax-uk.html","state annual salary","11","15","5","0.000016318140834040375","&pound;282,000 Salary After Tax UK | Take-Home Pay","&pound;282,000 After Tax UK","https://aftertaxtool.com/282000-salary-after-tax-uk.html"
"/234000-salary-after-tax-uk.html","state annual salary","9","19","4","0.000016316267953315048","&pound;234,000 Salary After Tax UK | Take-Home Pay","&pound;234,000 Salary After Tax UK","https://aftertaxtool.com/234000-salary-after-tax-uk.html"
"/25000-after-tax-monthly-texas.html","state monthly salary","11","18","3","0.000016314400402168995","$25,000 After Tax Monthly Texas","$25,000 After Tax Monthly in Texas","https://aftertaxtool.com/25000-after-tax-monthly-texas.html"
"/279000-salary-after-tax-uk.html","state annual salary","11","15","5","0.000016314087444286414","&pound;279,000 Salary After Tax UK | Take-Home Pay","&pound;279,000 After Tax UK","https://aftertaxtool.com/279000-salary-after-tax-uk.html"
"/91000-salary-after-tax-illinois.html","state annual salary","12","24","3","0.000016310332067551616","$91,000 Salary After Tax Illinois","$91,000 Salary After Tax in Illinois","https://aftertaxtool.com/91000-salary-after-tax-illinois.html"
"/287000-salary-after-tax-uk.html","state annual salary","11","16","5","0.000016297674733670686","&pound;287,000 Salary After Tax UK | Take-Home Pay","&pound;287,000 After Tax UK","https://aftertaxtool.com/287000-salary-after-tax-uk.html"
"/63000-salary-after-tax-new-york.html","state annual salary","18","26","4","0.000016296956670679325","$63,000 Salary After Tax New York","$63,000 Salary After Tax in New York (2026)","https://aftertaxtool.com/63000-salary-after-tax-new-york.html"
"/368000-salary-after-tax-uk.html","state annual salary","9","14","4","0.000016295144930824777","&pound;368,000 Salary After Tax UK | Take-Home Pay","&pound;368,000 After Tax UK","https://aftertaxtool.com/368000-salary-after-tax-uk.html"
"/119000-salary-after-tax-texas.html","state annual salary","12","17","3","0.00001629002015319526","$119,000 Salary After Tax Texas","$119,000 Salary After Tax Texas","https://aftertaxtool.com/119000-salary-after-tax-texas.html"
"/119000-salary-after-tax-california.html","state annual salary","12","17","3","0.000016286228319318428","$119,000 Salary After Tax California","$119,000 Salary After Tax California","https://aftertaxtool.com/119000-salary-after-tax-california.html"
"/89000-salary-after-tax-florida.html","state annual salary","12","26","3","0.000016286177176115436","$89,000 Salary After Tax Florida","$89,000 Salary After Tax in Florida","https://aftertaxtool.com/89000-salary-after-tax-florida.html"
"/296000-after-tax-weekly.html","weekly salary","9","12","5","0.00001628359268290525","&pound;296,000 After Tax Weekly UK | Net Pay","&pound;296,000 After Tax Weekly UK","https://aftertaxtool.com/296000-after-tax-weekly.html"
"/163000-after-tax-weekly.html","weekly salary","10","16","5","0.000016275145794644504","&pound;163,000 After Tax Weekly UK | Net Pay","&pound;163,000 After Tax Weekly in the UK","https://aftertaxtool.com/163000-after-tax-weekly.html"
"/220000-after-tax-weekly.html","weekly salary","8","12","4","0.000016274132984987555","&pound;220,000 After Tax Weekly UK | Net Pay","&pound;220,000 After Tax Weekly UK","https://aftertaxtool.com/220000-after-tax-weekly.html"
"/398000-after-tax-weekly.html","weekly salary","6","16","4","0.000016265144886617587","&pound;398,000 After Tax Weekly UK | Net Pay","&pound;398,000 After Tax Weekly in the UK","https://aftertaxtool.com/398000-after-tax-weekly.html"
